provider,tier,clips,wer,wer_spoken_punct_removed,wer_spoken_punct_share,drug_mentions,drug_accuracy,drug_hyp_mentions,drug_false_positives,drug_precision,drug_f1,drug_substitutions,doses,dose_value_accuracy,dose_value_errors,dose_unit_errors,negation_cues,negation_preservation
aai,A,135,0.09656095885200613,0.0967004761010242,-0.0014448618849352203,53,0.8867924528301887,49,1,0.9795918367346939,0.9308850835568393,1,55,0.8363636363636363,2,1,77,0.974025974025974
aai,B,135,0.09524391565273975,0.09536737244286321,-0.0012962170788272222,50,0.94,48,0,1.0,0.9690721649484536,0,23,1.0,0,0,49,0.9795918367346939
aai,C,130,0.10889818966279227,0.10935714455652978,-0.004214531895880775,76,0.9342105263157895,71,4,0.9436619718309859,0.9389124642257969,4,69,0.9710144927536232,1,1,46,1.0
dg-general,A,135,0.3445137786305938,0.2562411457118923,0.2562238098852706,53,0.7169811320754716,38,0,1.0,0.8351648351648352,0,55,0.7818181818181819,1,1,77,0.922077922077922
dg-general,B,135,0.32643240138944335,0.22406281588540583,0.31360117766590095,50,0.7,30,1,0.9666666666666667,0.812,0,23,0.8695652173913043,2,0,49,0.9795918367346939
dg-general,C,130,0.33962191331934305,0.26146263913732837,0.23013613408544198,76,0.7368421052631579,57,2,0.9649122807017544,0.8355941399891481,3,69,0.8985507246376812,0,1,46,1.0
dg-medical,A,135,0.325108148823766,0.23697211589973546,0.27109758165984066,53,0.8113207547169812,45,3,0.9333333333333333,0.8680605623648162,2,55,0.7636363636363637,2,1,77,0.922077922077922
dg-medical,B,135,0.3087024469058684,0.19383103921046624,0.37211045408535265,50,0.78,38,1,0.9736842105263158,0.8661464585834335,0,23,0.8260869565217391,3,0,49,1.0
dg-medical,C,130,0.3394000514686579,0.2552728993668423,0.24787018074328257,76,0.8289473684210527,62,2,0.967741935483871,0.892983699503898,1,69,0.8695652173913043,1,1,46,1.0
gemini,A,135,0.3243692227896204,0.25622542065172776,0.21008097362581582,53,0.7358490566037735,35,1,0.9714285714285714,0.8373855383643827,0,55,0.7818181818181819,3,0,77,0.8961038961038961
gemini,B,135,0.31399089488985604,0.23172008091246532,0.26201655944912117,50,0.72,43,8,0.813953488372093,0.7640994542146756,1,23,0.8260869565217391,3,0,49,0.9795918367346939
gemini,C,130,0.3616630417348546,0.2984452727241164,0.1747974266529697,76,0.6973684210526315,50,3,0.94,0.8007071681131469,3,69,0.855072463768116,2,1,46,1.0
whisper,A,135,0.33311987329139975,0.2754591779520642,0.17309293129112205,53,0.5849056603773585,24,0,1.0,0.738095238095238,0,55,0.7090909090909091,1,0,77,0.9090909090909091
whisper,B,135,0.34428907261918934,0.27248063807639283,0.20857018201743002,50,0.58,27,0,1.0,0.7341772151898733,0,23,0.8695652173913043,0,0,49,0.8979591836734694
whisper,C,130,0.33565084038180215,0.28514623019518376,0.15046770068911342,76,0.6578947368421053,38,2,0.9473684210526315,0.7765314926660916,3,69,0.855072463768116,1,1,46,0.9782608695652174
